A,B,C
2024,23 de janeiro de 2024,10 de março de 2024
2023,24 de janeiro de 2023,12 de março de 2023
2022,8 de fevereiro de 2022,27 de março de 2022
2021,15 de março de 2021,25 de abril de 2021
2020,13 de janeiro de 2020,9 de fevereiro de 2020
2019,22 de janeiro de 2019,24 de fevereiro de 2019
2018,23 de janeiro de 2018,4 de março de 2018
2017,24 de janeiro de 2017,26 de fevereiro de 2017
2016,14 de janeiro de 2016,28 de fevereiro de 2016
2015,15 de janeiro de 2015,22 de fevereiro de 2015
2014,16 de janeiro de 2014,2 de março de 2014
